table,column,index,original_value,type
df_contrats,coverStartDate,3659,,missing_value
df_contrats,coverStartDate,3660,,missing_value
df_contrats,coverStartDate,3661,,missing_value
df_contrats,coverStartDate,3662,,missing_value
df_contrats,coverStartDate,3663,,missing_value
df_contrats,coverStartDate,3664,,missing_value
df_contrats,coverStartDate,3665,,missing_value
df_contrats,coverStartDate,3666,,missing_value
df_contrats,coverStartDate,3667,,missing_value
df_contrats,coverStartDate,3668,,missing_value
df_contrats,coverStartDate,3669,,missing_value
df_contrats,coverStartDate,3670,,missing_value
df_contrats,coverStartDate,3671,,missing_value
df_contrats,coverStartDate,3672,,missing_value
df_contrats,coverStartDate,3673,,missing_value
df_contrats,coverStartDate,3674,,missing_value
df_contrats,coverStartDate,3675,,missing_value
df_contrats,coverStartDate,3676,,missing_value
df_contrats,coverStartDate,3677,,missing_value
df_contrats,coverStartDate,3678,,missing_value
df_contrats,coverStartDate,3679,,missing_value
df_contrats,coverStartDate,3680,,missing_value
df_contrats,petRace,394,,missing_value
df_contrats,petRace,541,,missing_value
df_contrats,petRace,612,,missing_value
df_contrats,petRace,634,,missing_value
df_contrats,petRace,643,,missing_value
df_contrats,petRace,730,,missing_value
df_contrats,petRace,813,,missing_value
df_contrats,petRace,819,,missing_value
df_contrats,petRace,860,,missing_value
df_contrats,petRace,863,,missing_value
df_contrats,petRace,868,,missing_value
df_contrats,petRace,911,,missing_value
df_contrats,petRace,929,,missing_value
df_contrats,petRace,981,,missing_value
df_contrats,petRace,1003,,missing_value
df_contrats,petRace,1007,,missing_value
df_contrats,petRace,1029,,missing_value
df_contrats,petRace,2543,,missing_value
df_contrats,petRace,3236,,missing_value
df_contrats,petRace,3279,,missing_value
df_contrats,petRace,3294,,missing_value
df_contrats,petRace,3302,,missing_value
df_contrats,petRace,3330,,missing_value
df_contrats,petRace,3355,,missing_value
df_contrats,petRace,3359,,missing_value
df_contrats,petRace,3362,,missing_value
df_contrats,petRace,3363,,missing_value
df_contrats,petRace,3366,,missing_value
df_contrats,petRace,3373,,missing_value
df_contrats,petRace,3388,,missing_value
df_contrats,petRace,3389,,missing_value
df_contrats,petRace,3398,,missing_value
df_contrats,petRace,3410,,missing_value
df_contrats,petRace,3428,,missing_value
df_contrats,petRace,3435,,missing_value
df_contrats,petRace,3470,,missing_value
df_contrats,petRace,3477,,missing_value
df_contrats,petRace,3494,,missing_value
df_contrats,petRace,3500,,missing_value
df_contrats,petRace,3502,,missing_value
df_contrats,petRace,3512,,missing_value
df_contrats,petRace,3551,,missing_value
df_contrats,petRace,3568,,missing_value
df_contrats,petRace,3572,,missing_value
df_contrats,petRace,3604,,missing_value
df_contrats,petRace,3606,,missing_value
df_contrats,petRace,3610,,missing_value
df_contrats,petRace,3675,,missing_value
df_sinistres,actDate,494,0221-12-09,incorrect_format_date
df_sinistres,actDate,3685,,missing_value
df_sinistres,incidentDate,3113,12021-10-24,incorrect_format_date
df_sinistres,incidentDate,3182,,missing_value
df_sinistres,incidentDate,3685,,missing_value
df_sinistres,incidentDate,3765,2021-07-26 il y a bien eu un accident  le 26/07 pour fracture  traumatique,incorrect_format_date
